Index 1,Index 2
1,5
1,6
1,7
1,9
1,15
1,24
1,28
1,34
1,35
1,37
1,95
1,99
1,100
1,101
1,106
1,107
1,109
1,110
2,59
2,63
2,64
2,65
2,66
3,4
3,6
3,10
3,13
3,14
3,17
3,19
3,20
3,30
3,31
3,32
3,37
3,103
4,6
4,10
4,13
4,36
4,37
4,42
4,103
4,105
4,107
5,6
5,7
5,8
5,33
5,35
6,7
6,10
6,13
6,24
6,37
6,103
7,8
7,9
7,15
7,24
7,34
7,36
8,11
9,15
9,22
9,34
9,35
9,36
9,37
9,40
9,41
9,49
9,50
9,53
9,60
9,63
9,64
9,65
9,66
9,95
9,99
9,101
9,105
9,107
10,13
10,19
10,20
10,31
10,32
10,36
10,40
10,41
10,95
10,101
10,103
10,104
10,110
12,22
12,23
12,36
12,42
12,49
12,105
12,107
13,25
13,33
13,36
13,40
13,41
13,64
13,95
13,101
13,103
13,105
13,107
14,17
14,18
14,19
14,20
14,30
14,31
14,32
14,33
14,36
14,103
15,34
15,35
15,36
15,37
15,40
15,41
15,49
15,53
15,90
15,95
15,98
15,101
15,105
15,107
16,23
16,25
16,36
16,50
16,105
16,107
17,18
17,19
17,20
17,30
17,31
17,32
17,33
17,36
17,103
18,19
18,20
18,30
18,31
18,32
18,33
18,36
18,103
19,20
19,30
19,31
19,32
19,33
19,36
19,103
19,75
20,30
20,31
20,32
20,33
20,36
20,103
21,25
21,33
21,36
21,103
22,23
22,25
22,34
22,36
22,105
23,25
23,36
23,42
23,53
23,105
23,107
24,34
24,35
24,37
24,100
25,33
25,36
25,53
25,72
25,105
25,107
26,45
26,48
27,28
27,33
27,34
27,35
27,36
27,37
27,40
27,41
27,43
27,44
27,46
27,49
27,51
27,95
27,101
27,103
27,104
27,105
27,106
27,107
27,108
28,33
28,34
28,35
28,36
28,37
28,40
28,41
28,43
28,44
28,46
28,49
28,51
28,95
28,101
28,103
28,104
28,105
28,106
28,107
28,108
29,33
29,34
29,35
29,36
29,37
29,43
29,44
29,95
29,96
29,97
29,98
29,110
30,31
30,32
31,32
33,35
33,36
33,105
33,107
34,35
34,36
34,37
34,40
34,41
34,49
34,53
34,95
34,101
34,105
34,107
35,36
35,37
35,40
35,41
35,49
35,53
35,95
35,101
35,105
35,107
36,40
36,41
36,49
36,53
36,95
36,101
36,105
36,107
37,40
37,41
37,49
37,103
37,107
38,39
38,107
39,107
40,41
40,49
40,51
40,52
40,95
40,101
40,107
41,46
41,49
41,51
41,52
41,95
41,101
41,107
42,53
43,44
43,49
43,95
43,98
43,101
43,108
44,49
44,95
44,98
44,101
44,108
45,46
45,47
45,48
45,51
45,53
46,47
46,48
46,53
47,48
47,51
47,53
48,51
48,53
49,52
49,95
49,101
49,107
49,108
50,51
50,53
50,107
51,52
51,53
51,95
51,101
52,101
54,61
54,62
55,56
55,59
55,62
56,62
56,59
57,62
58,59
58,60
58,61
58,62
58,102
59,60
59,61
59,62
59,102
60,61
60,62
60,102
61,62
61,102
62,102
63,64
63,65
63,66
64,65
64,66
65,66
67,68
67,69
67,70
67,94
68,69
68,70
68,72
68,94
69,70
69,72
69,80
69,81
69,82
69,83
70,71
70,94
71,72
71,83
71,85
71,87
72,86
72,88
72,94
73,78
73,89
73,90
74,76
74,77
74,78
74,79
74,84
74,85
74,86
74,87
74,88
74,89
74,90
74,91
74,92
74,93
75,85
75,86
75,87
75,88
75,91
75,92
76,77
76,89
76,91
76,93
77,89
77,91
77,93
78,79
81,82
81,83
82,83
84,85
84,86
84,87
84,88
84,89
84,90
85,87
85,88
86,87
86,88
86,89
86,90
86,92
88,94
89,91
90,92
95,96
95,97
95,98
95,100
95,101
95,108
96,97
96,98
96,100
96,101
96,110
97,98
97,100
97,101
97,110
98,100
98,101
98,110
100,101
100,108
100,109
100,110
101,108
101,109
101,110
104,107
108,109
108,110
