Index 1,Index 2
1,5
1,6
1,7
1,15
1,24
1,34
1,35
1,37
1,99
1,100
2,59
2,64
2,65
2,66
3,4
3,14
3,17
3,30
3,31
4,36
4,42
5,6
5,7
5,8
5,35
6,7
6,24
6,37
7,8
7,15
7,24
8,11
9,15
9,22
9,34
9,35
9,36
9,37
9,40
9,41
9,49
9,50
9,53
9,60
9,63
9,64
9,65
9,66
9,95
9,99
9,101
10,13
10,19
10,20
10,32
10,36
10,40
10,41
10,95
10,101
12,22
12,23
12,36
12,42
12,49
13,25
13,36
13,40
13,41
13,64
13,95
13,101
14,17
14,18
14,19
14,20
14,30
14,31
14,32
15,34
15,35
15,36
15,37
15,40
15,41
15,49
15,53
15,90
15,95
15,98
15,101
16,23
16,25
16,36
16,50
17,18
17,19
17,20
17,30
17,31
17,32
18,19
18,20
18,30
18,31
18,32
19,20
19,30
19,31
19,32
19,75
20,30
20,31
20,32
21,25
21,33
22,23
22,25
22,36
23,25
23,36
23,42
24,34
24,37
24,100
25,33
25,36
25,72
26,45
26,48
27,28
27,33
27,34
27,35
27,36
27,37
27,40
27,41
27,43
27,44
27,46
27,49
27,51
27,95
27,101
28,33
28,34
28,35
28,36
28,37
28,40
28,41
28,43
28,44
28,46
28,49
28,51
28,95
28,101
29,33
29,34
29,35
29,36
29,37
29,43
29,95
29,98
30,31
30,32
31,32
33,35
33,36
34,35
34,36
34,37
34,40
34,41
34,49
34,53
34,95
34,101
35,36
35,37
35,40
35,41
35,49
35,53
35,95
35,101
36,40
36,41
36,49
36,53
36,95
36,101
37,40
37,41
37,49
38,39
40,41
40,49
40,51
40,52
40,95
40,101
41,46
41,49
41,51
41,52
41,95
41,101
42,53
43,44
43,49
43,95
43,98
43,101
44,49
44,95
44,98
44,101
45,46
45,47
45,48
45,51
45,53
46,47
46,48
46,53
47,48
47,51
47,53
48,51
48,53
49,52
49,95
49,101
50,51
50,53
51,52
51,53
51,95
51,101
52,101
54,61
54,62
56,62
56,59
57,62
58,59
58,62
59,60
59,61
59,62
63,64
63,65
63,66
64,65
64,66
65,66
67,68
67,69
67,94
68,69
68,72
69,72
69,80
69,81
69,82
69,83
70,71
70,94
71,72
71,83
71,85
71,87
72,86
72,88
72,94
73,78
73,89
73,90
74,76
74,77
74,78
74,79
74,84
74,85
74,86
74,87
74,88
74,89
74,90
74,91
74,92
74,93
75,85
75,86
75,87
75,88
75,91
75,92
76,77
76,89
76,91
76,93
77,89
77,91
77,93
78,79
81,82
81,83
82,83
84,85
84,86
84,87
84,88
85,87
85,88
86,89
86,92
95,96
95,97
95,98
95,100
95,101
96,97
96,98
96,100
96,101
97,98
97,100
97,101
98,100
98,101
100,101
